year,hits,artpub
1850,20,0.003918495297805642
1851,27,0.005289968652037617
1852,35,0.006857366771159875
1853,49,0.009600313479623824
1854,42,0.008228840125391849
1855,51,0.009992163009404389
1856,65,0.012735109717868339
1857,43,0.008424764890282132
1858,58,0.011363636363636364
1859,61,0.01195141065830721
1860,47,0.00920846394984326
1861,28,0.0054858934169279
1862,60,0.011755485893416929
1863,54,0.010579937304075235
1864,52,0.01018808777429467
1865,65,0.012735109717868339
1866,53,0.010384012539184953
1867,31,0.006073667711598746
1868,88,0.017241379310344827
1869,86,0.016849529780564265
1870,79,0.015478056426332288
1871,73,0.014302507836990596
1872,96,0.018808777429467086
1873,138,0.027037617554858933
1874,94,0.01841692789968652
1875,111,0.021747648902821316
1876,152,0.029780564263322883
1877,181,0.035462382445141064
1878,129,0.025274294670846395
1879,164,0.03213166144200627
1880,206,0.04036050156739812
1881,215,0.042123824451410656
1882,265,0.051920062695924765
1883,214,0.04192789968652037
1884,164,0.03213166144200627
1885,148,0.028996865203761754
1886,169,0.03311128526645768
1887,153,0.029976489028213166
1888,176,0.034482758620689655
1889,148,0.028996865203761754
1890,163,0.03193573667711599
1891,226,0.044278996865203764
1892,159,0.03115203761755486
1893,173,0.03389498432601881
1894,221,0.04329937304075235
1895,249,0.04878526645768025
1896,352,0.06896551724137931
1897,331,0.06485109717868338
1898,243,0.04760971786833856
1899,289,0.05662225705329153
1900,305,0.05975705329153605
1901,333,0.06524294670846395
1902,506,0.09913793103448276
1903,464,0.09090909090909091
1904,547,0.10717084639498432
1905,572,0.11206896551724138
1906,684,0.13401253918495298
1907,566,0.11089341692789968
1908,492,0.09639498432601881
1909,495,0.09698275862068965
1910,562,0.11010971786833856
1911,556,0.10893416927899686
1912,475,0.09306426332288402
1913,613,0.12010188087774294
1914,543,0.10638714733542319
1915,605,0.11853448275862069
1916,845,0.1655564263322884
1917,817,0.1600705329153605
1918,977,0.19141849529780564
1919,926,0.18142633228840124
1920,809,0.15850313479623823
1921,996,0.195141065830721
1922,1125,0.2204153605015674
1923,1415,0.2772335423197492
1924,1394,0.2731191222570533
1925,1542,0.302115987460815
1926,1334,0.26136363636363635
1927,1492,0.29231974921630094
1928,1911,0.37441222570532917
1929,1458,0.2856583072100313
1930,1686,0.3303291536050157
1931,2012,0.3942006269592476
1932,1841,0.3606974921630094
1933,1709,0.33483542319749215
1934,1744,0.34169278996865204
1935,1902,0.37264890282131663
1936,1664,0.32601880877742945
1937,1645,0.3222962382445141
1938,1755,0.34384796238244514
1939,1548,0.30329153605015674
1940,1636,0.32053291536050155
1941,1842,0.36089341692789967
1942,1751,0.34306426332288403
1943,1789,0.35050940438871475
1944,1834,0.3593260188087774
1945,1290,0.2527429467084639
1946,1551,0.30387931034482757
1947,1362,0.26684952978056425
1948,1427,0.2795846394984326
1949,1579,0.30936520376175547
1950,1417,0.2776253918495298
1951,1126,0.22061128526645768
1952,1388,0.2719435736677116
1953,1448,0.2836990595611285
1954,1907,0.373628526645768
1955,1913,0.3748040752351097
1956,1649,0.32307993730407525
1957,1340,0.26253918495297807
1958,1127,0.22080721003134796
1959,1421,0.2784090909090909
1960,1261,0.24706112852664577
1961,1114,0.21826018808777428
1962,1294,0.2535266457680251
1963,1454,0.2848746081504702
1964,1530,0.29976489028213166
1965,1053,0.20630877742946707
1966,988,0.19357366771159876
1967,1800,0.35266457680250785
1968,2088,0.4090909090909091
1969,1926,0.37735109717868337
1970,2546,0.4988244514106583
1971,2618,0.5129310344827587
1972,1363,0.26704545454545453
1973,1255,0.2458855799373041
1974,1139,0.22315830721003135
1975,1190,0.23315047021943575
1976,1954,0.38283699059561127
1977,1387,0.2717476489028213
1978,1708,0.3346394984326019
1979,1468,0.28761755485893414
1980,1729,0.3387539184952978
1981,965,0.18906739811912227
1982,1587,0.31093260188087773
1983,2002,0.3922413793103448
1984,1661,0.3254310344827586
1985,2129,0.41712382445141066
1986,2785,0.5456504702194357
1987,2943,0.5766065830721003
1988,2937,0.5754310344827587
1989,2538,0.4972570532915361
1990,2589,0.5072492163009404
1991,2095,0.41046238244514105
1992,2679,0.5248824451410659
1993,2396,0.46943573667711597
1994,3307,0.647923197492163
1995,3566,0.6986677115987461
1996,3461,0.6780956112852664
1997,3690,0.7229623824451411
1998,2985,0.5848354231974922
1999,4183,0.8195532915360502
2000,4875,0.9551332288401254
2001,3704,0.725705329153605
2002,2712,0.5313479623824452
2003,3307,0.647923197492163
2004,4018,0.7872257053291536
2005,4303,0.843064263322884
2006,5104,1.0
2007,5045,0.9884404388714734
